sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname
,,70.468171,,,3.46,,16.17,511.0,,6461.0,1.131,,,4.396,,14.811,,,K01685.01
,,2.31610674,,,0.7,,1393.98,1559.0,,6025.0,1.193,,,4.3,,13.608,,,K06871.01
,,4.93913074,,,24.03,,461.47,1182.0,,5956.0,1.17,,,4.324,,14.832,,,K01605.01
,,0.980505042,,,26.35,,3100.61,1904.0,,5794.0,1.059,,,4.372,,15.198,,,K04299.01
,,531.33282,,,2.67,,0.77,239.0,,6163.0,1.022,,,4.457,,15.191,,,K05201.01
,,11.5509742,,,11.0252,,56.355,763.0,,5625.0,1.06,,,4.49092,,,,,826.01
,,3.17323012,,,0.88,,112.21,830.0,,4500.0,0.633,,,4.632,,14.993,,,K02466.01
,,1.231363214,,,10.75,,1973.12,1699.0,,5780.0,1.0,,,4.438,,17.661,,,K04118.01
,,26.737139497,,,29.28,,43.59,655.0,,5794.0,1.155,,,4.317,,12.688,,,K05093.01
,,3.016182013,,,2.25,,1044.49,1449.0,,5611.0,1.4,,,4.144,,14.878,,,K01369.01
,,12.36564669,,,24.89,,98.51,804.0,,6075.0,0.952,,,4.495,,14.59,,,K01600.01
1.0,2.0,5.444017,0.0492,,2.06,,,537.0,0.0,3778.0,0.51,0.54,-0.05,4.75,101.632,14.639,10.589,13.8012,K2-117
,,4.15246118,,,7.62,,3354.56,1941.0,,4941.0,4.885,,,3.317,,14.604,,,K01108.03
,,30.47639859,,,43.01,,20.39,542.0,,5913.0,0.787,,,4.585,,14.84,,,K03362.01
,,8.0635,,,24.3071,,621.088,1390.0,,5657.0,1.71,,,3.97,,,,,360.01
,,9.705693,,,2.07,,237.46,1001.0,,5808.0,1.385,,,4.178,,14.93,,,K03127.01
,,4.409409243,,,10.95,,347.06,1101.0,,5600.0,0.975,,,4.368,,15.403,,,K00895.01
,,0.789171236,,,0.69,,1291.41,1527.0,,4776.0,0.811,,,4.516,,15.352,,,K07768.01
1.0,1.0,5.628466,,,2.68657205,,,,0.0,5250.0,1.717458,0.891587,-0.09,3.95,606.128,12.745,10.529,12.4386,K2-171
,,175.13892,,,3.06,,3.39,346.0,,5497.0,1.241,,,4.243,,15.245,,,K04009.01
,,0.532086296,,,16.99,,2417.28,1790.0,,5271.0,0.698,,,4.636,,15.397,,,K02646.01
,,5.93725628,,,0.86,,148.97,891.0,,5428.0,0.799,,,4.494,,14.702,,,K04297.01
,,0.493393859,,,1.4,,1203.14,1505.0,,4474.0,0.614,,,4.67,,15.398,,,K02882.02
,,13.37499553,,,2.01,,57.85,703.0,,5263.0,0.961,,,4.404,,14.738,,,K02451.01
,,24.30784323,,,2.14,,18.87,532.0,,5313.0,0.82,,,4.571,,12.63,,,K00306.01
,,1.33254428,,,0.93,,981.02,1427.0,,5460.0,0.734,,,4.543,,15.84,,,K07967.01
,,0.93378068,,,0.63,,985.2,1427.0,,4938.0,0.753,,,4.601,,15.89,,,K08008.01
,,1.072934147,,,81.42,,9590.04,2523.0,,7031.0,1.523,,,4.222,,13.96,,,K08028.01
,,1.1355457,,,21.5263238,,47965.7,4122.0,,10262.0,7.03693,,,,,,,,4225.01
,,8.99088621,,,2.78,,200.35,960.0,,5881.0,1.171,,,4.315,,13.431,,,K00159.01
,,13.6396648,,,1.1,,62.6,717.0,,5600.0,0.872,,,4.455,,15.204,,,K01278.04
1.0,2.0,28.482786,,,2.57581891,,,,0.0,5712.0,0.906367,0.963364,-0.09,4.55,315.014,12.524,10.876,12.3238,K2-195
,,36.473115046,,,53.1,,11.24,467.0,,5452.0,0.766,,,4.594,,14.359,,,K06791.01
,,27.0779813,,,2.03,,29.98,597.0,,5906.0,0.85,,,4.467,,14.17,,,K05586.01
